"ID","Species","Owner","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","unit_of_measurement","altitude_low_meters","altitude_high_meters"
1094,"Arabica","ethiopia commodity exchange","Ethiopia","NULL","NULL","NULL","NULL","kelem welega","Exporter Name | Muluneh Kaka | Phone: 0114390290","360","6","Ethiopia Commodity Exchange","2010","June 17th, 2010","Ethiopia Commodity Exchange","NULL","NULL","7.25","7.25","7.25","7.33","7.5","8","9.33","9.33","10","7.08","80.33","0.1","0","0","NULL","1","June 17th, 2011","Ethiopia Commodity Exchange","m","NULL","NULL"
1095,"Arabica","volcafe ltda. - brasil","Brazil","sÃ£o rafael_ ra/ras certified","copag - varginha - mg","volcafe ltda.","995","cerrado - monte carmelo - minas gerais","Luiz Augusto Pereira Moguilod","440","59 kg","Brazil Specialty Coffee Association","2017 / 2018","November 3rd, 2017","Volcafe Ltda. - Brasil","Catuai","Natural / Dry","7.17","7.33","7.42","7.08","7","7","10","10","10","7.25","80.25","0.11","0","1","Green","1","November 3rd, 2018","Brazil Specialty Coffee Association","m","995","995"
1096,"Arabica","bismarck castro","Honduras","las moras","cigrah s.a de c.v.","cigrah s.a de c.v","1400","comayagua","Yamilet Lope","275","69 kg","Instituto HondureÃ±o del CafÃ©","2016","April 6th, 2017","Bismarck Castro","Caturra","Natural / Dry","7.25","7.25","7","7","7.42","7","10","10","10","7.33","80.25","0.1","0","0","Green","4","April 6th, 2018","Instituto HondureÃ±o del CafÃ©","m","1400","1400"
1097,"Arabica","cafe de don balbino s.c. de r.l. de c.v.","Mexico","cortapico","cafÃ© don balbino","cafe don balbino s.c. de r.l. de c.v.","1600","sierra madre occidental","Balbino Ramirez Flores","60","69 kg","Centro AgroecolÃ³gico del CafÃ© A.C.","2016","April 26th, 2016","CAFE DE DON BALBINO S.C. DE R.L. DE C.V.","Caturra","Washed / Wet","7.25","7.17","7","7.33","7.33","7","10","10","10","7.17","80.25","0.1","0","0","Green","2","April 26th, 2017","Centro AgroecolÃ³gico del CafÃ© A.C.","m","1600","1600"
1098,"Arabica","bob mccauley","Myanmar","waylead farms","green beans","waylead industrial co, ltd.","3000 ft","yauk sauk, shan state","Waylead Co, Ltd","2","2 kg","Specialty Coffee Association","2015","August 27th, 2015","Bob McCauley","Other","Natural / Dry","8","7.08","7","7.33","7.08","6.92","10","10","10","6.83","80.25","0.11","1","0","Green","26","August 26th, 2016","Specialty Coffee Association","ft","914.4","914.4"
1099,"Arabica","u htun htun","Myanmar","thein kone","NULL","NULL","4287","ywar ngan","U Htun Htun","1","2 kg","Coffee Quality Institute","2014","July 17th, 2015","U Htun Htun","Catuai","Natural / Dry","7.42","7","7.08","7","7.17","7.33","10","10","10","7.25","80.25","0","0","0","Green","1","July 16th, 2016","Coffee Quality Institute","m","4287","4287"
1100,"Arabica","gloria antonieta escobar urrutia","Nicaragua","finca el consuelo","beneficio matagalpa coffee group, s.a.","zeas escobar y compaÃ±Ã­a limitada","900 m.s.n.m.","matagalpa","GLORIA ANTONIETA ESCOBAR URRUTIA","275","69 kg","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","2015","February 20th, 2015","Gloria Antonieta Escobar Urrutia","Caturra","Washed / Wet","7.08","6.92","7","7.25","7.5","7.25","10","10","10","7.25","80.25","0.11","0","0","Green","2","February 20th, 2016","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","m","900","900"
1101,"Arabica","eileen koyanagi","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","2","100 lbs","Specialty Coffee Association","2014","March 3rd, 2014","Eileen Koyanagi","Hawaiian Kona","Natural / Dry","7.5","7.08","7.67","7.67","7.42","7.58","9.33","9.33","9.33","7.33","80.25","0.12","4","0","Green","13","March 3rd, 2015","Specialty Coffee Association","ft","NULL","NULL"
1102,"Arabica","honor dela fuente","Colombia","NULL","NULL","costco wholesale industries","NULL","NULL","NULL","1","2 kg","Specialty Coffee Association","2012","January 8th, 2014","Honor dela Fuente","Typica","Washed / Wet","7.42","8","7.83","7.75","8.08","7.58","8.67","8.67","8.67","7.58","80.25","0.1","0","0","Green","0","January 8th, 2015","Specialty Coffee Association","m","NULL","NULL"
1103,"Arabica","cqi taiwan icp cqi??????","Taiwan","weng hui ling ???","weng hui ling ???","blossom valley????","700 m","chiayi fanlu??????","Weng hui ling ???","5","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Semi-washed / Semi-pulped","7.25","7.08","7.25","7.25","7.17","7.25","10","10","10","7","80.25","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","700","700"
1104,"Arabica","the coffee source inc.","Guatemala","several","ixchel","the coffee source inc.","1400","oriente","UNEX","250","1 kg","Specialty Coffee Association","2012","January 9th, 2013","The Coffee Source Inc.","Caturra","Washed / Wet","7","7.17","7.33","7.33","7","7.17","10","10","10","7.25","80.25","0.11","1","0","Green","12","January 9th, 2014","Specialty Coffee Association","m","1400","1400"
1105,"Arabica","saul m. hernandez ramirez","Mexico","mirador","en coyula","NULL","808","calnali, hidalgo","HERNANDEZ PACHECO, TIMOTEO","10","1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Caturra","Washed / Wet","7.58","7.33","7.17","7.25","6.75","7","10","10","10","7.17","80.25","0.11","2","0","None","8","September 27th, 2013","AMECAFE","m","808","808"
1106,"Arabica","sunvirtue co., ltd.","Vietnam","apollo estate","yes","sunvirtue co., ltd.","1550","dala","Yeh, Li Chuan","1","2 kg","Specialty Coffee Association","2017","May 9th, 2017","Sunvirtue Co., Ltd.","Catimor","Other","7.42","7.25","7.25","7.58","7.42","7.33","8.67","10","10","7.25","80.17","0","0","0","NULL","2","May 9th, 2018","Specialty Coffee Association","m","1550","1550"
1107,"Arabica","exportadora atlantic, s.a.","Nicaragua","los mesones","planta procesadora sebaco","exportadora atlantic s.a","1100 - 1275 mts","jinotega","Sheldom La rue","275","2 kg","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","2015","April 24th, 2015","Exportadora Atlantic, S.A.","Caturra","Washed / Wet","7.17","7.08","7.08","7.33","7.25","7.08","10","10","10","7.17","80.17","0.11","0","0","NULL","2","April 23rd, 2016","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","m","1100","1275"
1108,"Arabica","cadexsa","Honduras","cerro bueno","cadexsa","cadexsa","1400 msnm","marcala","Jose Omar Acosta","275","1 kg","Instituto HondureÃ±o del CafÃ©","2015","January 26th, 2015","CADEXSA","Catuai","Washed / Wet","7.25","7.25","7","7.17","7.08","7.08","10","10","10","7.33","80.17","0.11","0","0","Green","0","January 26th, 2016","Instituto HondureÃ±o del CafÃ©","m","1400","1400"
1109,"Arabica","juan luis alvarado romero","Guatemala","el morito","beneficio ixchel","unex guatemala, s.a.","4300","oriente","ROBERTO MONTERROSO","250","69 kg","Asociacion Nacional Del CafÃ©","2013","August 7th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.33","7.33","7","7.17","7.17","7.17","10","10","10","7","80.17","0.11","0","0","Green","2","August 7th, 2014","Asociacion Nacional Del CafÃ©","ft","1310.64","1310.64"
1110,"Arabica","pablo enrique martinez gama","Mexico","la orduÃ±a, coatepec, veracruz","alcafe s.a. de c.v","cafÃ© katsina","1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA","20","1 kg","AMECAFE","2012","October 9th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Washed / Wet","7.33","7.08","6.92","7.42","7.25","7.08","10","10","10","7.08","80.17","0.11","0","0","Green","2","October 9th, 2013","AMECAFE","m","1250","1250"
1111,"Arabica","israel eduardo paz garcia","Mexico","el carrizo","zaragoza itundujia, oaxaca","cafeorganico.mx","1550","zaragoza itundujia","CIRILO JOSE JOSE","15","1 kg","AMECAFE","2012","September 13th, 2012","ISRAEL EDUARDO PAZ GARCIA","Typica","Washed / Wet","7.58","7.42","7.33","7.5","7.08","7.17","8.67","10","10","7.42","80.17","0.14","1","0","Green","2","September 13th, 2013","AMECAFE","m","1550","1550"
1112,"Arabica","marco virgilio ramirez teliz","Mexico","el aguacate","cafes de naranjal s.a. de c.v.","cafes de naranjal s.a. de c.v","1000","veracruz","MARCO VIRGILIO RAMIREZ TELIZ","15","1 kg","AMECAFE","2012","September 10th, 2012","MARCO VIRGILIO RAMIREZ TELIZ","Bourbon","Washed / Wet","7.33","7.33","7.17","7.08","7.25","7","10","10","10","7","80.17","0.12","0","0","Green","12","September 10th, 2013","AMECAFE","m","1000","1000"
1113,"Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral","beneficio ixchel","unex guatemala, s.a.","4300","oriente","AGROPECUARIA QUIAGRAL","250","1 kg","Asociacion Nacional Del CafÃ©","2012","May 24th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.33","7.33","7","7.33","7","7","10","10","10","7.17","80.17","0.11","0","0","Green","5","May 24th, 2013","Asociacion Nacional Del CafÃ©","ft","1310.64","1310.64"
1114,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","NULL","NULL","kona","NULL","22","100 lbs","Specialty Coffee Association","NULL","September 22nd, 2011","Kona Pacific Farmers Cooperative","NULL","NULL","7.58","7.5","7.33","7.33","7.67","7.33","9.33","9.33","9.33","7.42","80.17","0.05","12","0","NULL","1","September 21st, 2012","Specialty Coffee Association","ft","NULL","NULL"
1115,"Arabica","brayan cunha souza","Brazil","NULL","cafeco 3","carmo coffees","1100","mantiqueira de minas","NULL","440","60 kg","Brazil Specialty Coffee Association","2017 / 2018","November 29th, 2017","Brayan Cunha Souza","Bourbon","Pulped natural / honey","7.17","7.17","7","7.17","7.25","7.25","10","10","10","7.08","80.08","0.11","0","0","Green","5","November 29th, 2018","Brazil Specialty Coffee Association","m","1100","1100"
1116,"Arabica","cqi taiwan icp cqi??????","Taiwan","???????","???????","????","850??","????","???","10","60 kg","Blossom Valley International","2014","November 23rd, 2014","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","7.42","7.25","7.25","7.17","7","7","10","10","10","7","80.08","0.07","0","0","Green","0","November 23rd, 2015","Blossom Valley International","m","850","850"
1117,"Arabica","honor dela fuente","Nicaragua","NULL","NULL","costco wholesale industries","NULL","NULL","NULL","1","5 lbs","Specialty Coffee Association","2013","February 25th, 2014","Honor dela Fuente","NULL","Natural / Dry","7.25","7.17","6.92","7.25","7.17","7.25","10","10","10","7.08","80.08","0.1","0","0","Green","4","February 25th, 2015","Specialty Coffee Association","m","NULL","NULL"
1118,"Arabica","cqi taiwan icp cqi??????","Taiwan","sheng he shang pin coffee ???????","sheng he shang pin coffee ???????","blossom valley????","200 m","yunlin gukeng he bao ?????????","Du zheng ru ???","10","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Other","7.25","7.25","7.25","7.25","7.08","7","10","10","10","7","80.08","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","200","200"
1119,"Arabica","cqi taiwan icp cqi??????","Taiwan","a shu she coffee ???????","a shu she coffee ???????","blossom valley????","150 m","changhua baguashan ??????","Zheng zhao ming ???","10","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","7.25","7.25","7.25","7","7.25","7.08","10","10","10","7","80.08","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","150","150"
1120,"Arabica","cqi taiwan icp cqi??????","Taiwan","wu kun shan coffee ??????","wu kun shan coffee ??????","blossom valley????","250 m","changhua baguashan ??????","Wu kun shan ???","10","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Semi-washed / Semi-pulped","7.25","7.25","7.25","7.08","7.17","7.08","10","10","10","7","80.08","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","250","250"
1121,"Arabica","israel eduardo paz garcia","Mexico","el tabaco","zaragoza itundujia, oaxaca","cafeorganico.mx","1300","zaragoza itundujia","ALBERTA TEODORO ANALCO","13","1 kg","AMECAFE","2012","September 14th, 2012","ISRAEL EDUARDO PAZ GARCIA","Typica","Washed / Wet","7.33","7.17","7.25","7.08","7.08","7.08","10","10","10","7.08","80.08","0.15","0","0","None","0","September 14th, 2013","AMECAFE","m","1300","1300"
1122,"Arabica","federico pacheco perez","Mexico","NULL","NULL","NULL","1300","escuitla","FEDERICO PACHECO PEREZ","10","1 kg","AMECAFE","2012","August 30th, 2012","FEDERICO PACHECO PEREZ","Typica","Washed / Wet","7.25","7.08","7","7.17","7.33","7.17","10","10","10","7.08","80.08","0.14","1","0","Green","17","August 30th, 2013","AMECAFE","m","1300","1300"
1123,"Arabica","comercial internacional exportadora, s.a.","Nicaragua","santa matilde","beneficio san carlos","comercial internacional exportadora, s.a.","1250","jinotega","RONALDO LACAYO CARDENAL","275","69 kg","Instituto HondureÃ±o del CafÃ©","2017","June 13th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.","Caturra","Washed / Wet","7.33","7.08","6.92","7.08","7.42","7.17","10","10","10","7","80","0.1","0","0","Green","5","June 13th, 2018","Instituto HondureÃ±o del CafÃ©","m","1250","1250"
1124,"Arabica","ngu shwe li","Myanmar","doe kwin","ngu shwe li coffee estate","ngu shwe li coffee estate","3845","doe kwin, pyin oo lwin","Ngu Shwe Li Coffee Estate","1","2 kg","Coffee Quality Institute","2015","July 17th, 2015","Ngu Shwe Li","Other","Washed / Wet","7.17","7.33","7","7.42","7.17","7","10","10","10","6.92","80","0","0","0","Green","4","July 16th, 2016","Coffee Quality Institute","m","3845","3845"
1125,"Arabica","kurt kappeli","Mexico","various","productores de cafes especiales sc","globus coffee","1300 to 1500 meters","sierra fraylesca, chiapas","various small producers","280","2 kg","Specialty Coffee Association","2014","May 1st, 2014","Kurt Kappeli","Typica","Washed / Wet","7.58","7.75","7.42","7.5","7.5","7.5","8.67","8.67","10","7.42","80","0","0","0","Green","2","May 1st, 2015","Specialty Coffee Association","m","1300","1500"
1126,"Arabica","cqi taiwan icp cqi??????","Taiwan","zhang li hong coffee ???????","zhang li hong coffee ???????","blossom valley????","250 m","changhua baguashan ??????","Zhang xian tong ???","10","30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI??????","Typica","Washed / Wet","7.25","7.25","7.25","7","7.25","7","10","10","10","7","80","0.11","0","0","Green","0","December 26th, 2014","Blossom Valley International","m","250","250"
1127,"Arabica","doi tung development project","Thailand","doi tung development project","doi tung development project","doi tung development project","800++","thailand","Doi Tung Development Project","2","1 kg","Specialty Coffee Association","2012","May 29th, 2013","Doi Tung Development Project","NULL","Washed / Wet","7.33","6.67","7.08","7.42","7.42","7.08","10","10","10","7","80","0","0","0","Green","0","May 29th, 2014","Specialty Coffee Association","m","800","800"
1128,"Arabica","pablo enrique martinez gama","Mexico","la orduÃ±a, coatepec, veracruz","alcafe s.a. de c.v","NULL","1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA","20","1 kg","AMECAFE","2012","September 10th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Washed / Wet","7.25","7.25","7.08","7.17","7.33","7.33","9.33","10","10","7.25","80","0.12","0","0","Green","9","September 10th, 2013","AMECAFE","m","1250","1250"
1129,"Arabica","semiramis casas velazquez","Mexico","santa clara, california y camila","finca camila","NULL","1100","san miguel del puerto","SEMIRAMIS CASAS VELAZQUEZ","256","1 kg","AMECAFE","2012","September 4th, 2012","SEMIRAMIS CASAS VELAZQUEZ","Other","Washed / Wet","7.08","7.33","7","7.33","7.08","7","10","10","10","7.17","80","0.11","0","0","Green","12","September 4th, 2013","AMECAFE","m","1100","1100"
1130,"Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-51-08-01, email | at","NULL","NULL","NULL","limu","Contact name | ATO Teshome Belamo","300","6","Ethiopia Commodity Exchange","2010","June 17th, 2010","Ethiopia Commodity Exchange","NULL","NULL","7.42","7.42","7.5","7.92","7.75","7.58","8.67","9.33","8.67","7.75","80","0.05","0","0","NULL","2","June 17th, 2011","Ethiopia Commodity Exchange","m","NULL","NULL"
1131,"Arabica","federacion nacional de cafeteros","Colombia","NULL","NULL","federacion nacional de cafeteros","NULL","huila","NULL","275","2 kg","AlmacafÃ©","2015","April 23rd, 2015","Federacion Nacional de Cafeteros","NULL","Washed / Wet","7.83","7.67","7.58","7.75","7.83","7.17","6.67","10","10","7.42","79.92","0","0","0","Green","1","April 22nd, 2016","AlmacafÃ©","m","NULL","NULL"
1132,"Arabica","eileen koyanagi","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","12","100 kg","Specialty Coffee Association","2014","May 12th, 2014","Eileen Koyanagi","Hawaiian Kona","Natural / Dry","7.5","7","7","6.92","7.33","7.17","10","10","10","7","79.92","0.11","1","0","Green","3","May 12th, 2015","Specialty Coffee Association","ft","NULL","NULL"
1133,"Arabica","calixto guillen vazquez","Mexico","various","productores de cafes especiales sc","finca triunfo verde, s.c.","1300","chiapas","VARIOS PRODUCTORES","400","1 kg","AMECAFE","2013","March 29th, 2013","CALIXTO GUILLEN VAZQUEZ","Bourbon","Washed / Wet","7.33","7.08","7.08","7.33","7.42","7.17","9.33","10","10","7.17","79.92","0.12","0","0","Green","4","March 29th, 2014","AMECAFE","m","1300","1300"
1134,"Arabica","alejandro garcia palacios","Mexico","finca buenos aires","finca la fortuna","industrializadora de kaffee andes s.a. de c.v.","1100","motozintla, chiapas","MARTHA PALACIOS","10","1 kg","AMECAFE","2012","September 11th, 2012","ALEJANDRO GARCIA PALACIOS","Other","Washed / Wet","7.17","7.17","6.92","7.25","7.33","7.08","10","10","10","7","79.92","0.12","1","0","Green","7","September 11th, 2013","AMECAFE","m","1100","1100"
1135,"Arabica","christina dusing","Mexico","rancho san francisco iii","ecc beneficio veracruz","NULL","1100","veracruz","DELMAR MORENO GUILLEN","82","1 kg","AMECAFE","2012","August 30th, 2012","CHRISTINA DUSING","Bourbon","Washed / Wet","7.5","7.17","7","7.17","7.25","7.08","10","10","10","6.75","79.92","0","0","0","NULL","0","August 30th, 2013","AMECAFE","m","1100","1100"
1136,"Arabica","montegrande","Mexico","finca monte grande","finca montegrande, jaltenango","NULL","1100","jaltenango","MARIA ELENA TERESA FERNANDEZ CEJA","250","1 kg","AMECAFE","2012","July 26th, 2012","MONTEGRANDE","Catuai","Washed / Wet","7.17","7.08","7.08","7.08","7.5","7.33","9.33","10","10","7.33","79.92","0.11","0","0","Green","3","July 26th, 2013","AMECAFE","m","1100","1100"
1137,"Arabica","pablo enrique martinez gama","Mexico","finca la orduÃ±a","finca la orduÃ±a, coatepec, ver.","NULL","1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA","100","1 kg","AMECAFE","2012","July 11th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Natural / Dry","7.33","7.25","7","7.42","7.17","7.17","9.33","10","10","7.25","79.92","0.12","0","0","Green","6","July 11th, 2013","AMECAFE","m","1250","1250"
1138,"Arabica","jesus carlos cadena valdivia","Mexico","finca huehuetecpan","cosautlan de carvajal, veracruz, mÃ©xico","cafetalera la asunciÃ³n s.a. de c.v.","1250","veracruz","MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ","209","1 kg","AMECAFE","2012","July 11th, 2012","JESUS CARLOS CADENA VALDIVIA","Mundo Novo","Washed / Wet","7.17","7.33","7.08","7.58","7.33","7.08","10","9.33","10","7","79.92","0.11","0","0","Green","0","July 11th, 2013","AMECAFE","m","1250","1250"
1139,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","NULL","NULL","kona","NULL","40","100 lbs","Specialty Coffee Association","NULL","September 22nd, 2011","Kona Pacific Farmers Cooperative","NULL","NULL","7.5","7.42","7.58","7.42","7.5","7.58","8.67","8.67","10","7.58","79.92","0.05","3","0","NULL","0","September 21st, 2012","Specialty Coffee Association","ft","NULL","NULL"
1140,"Arabica","kennedy macharia","Kenya","yara estate / benvar estate","sasini mills / thika cofee mills","taylor winch (coffee) ltd","1500","kiambu","YARA / BENVAR","200","12000 kg","Kenya Coffee Traders Association","2017","August 25th, 2017","Kennedy Macharia","SL34","Washed / Wet","7","7.08","7","7.17","7.25","7.25","10","10","10","7.08","79.83","0.11","0","1","NULL","5","August 25th, 2018","Kenya Coffee Traders Association","m","1500","1500"
1141,"Arabica","juan luis alvarado romero","Guatemala","piamonte","beneficio ixchel","unex guatemala, s.a.","1700","san marcos","JORGE LEAL","50","69 kg","Asociacion Nacional Del CafÃ©","2017","August 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.33","7.25","6.92","7.33","7.25","7.33","9.33","10","10","7.08","79.83","0.1","0","0","Green","2","August 22nd, 2018","Asociacion Nacional Del CafÃ©","m","1700","1700"
1142,"Arabica","asociaciÃ³n aldea global jinotega","Nicaragua","asociaciÃ³n aldea global jinotega","beneficio soppexcca","asociaciÃ³n aldea global jinotega","1250","jinotega","AsociaciÃ³n Aldea Global Jinotega","75","2 kg","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","2014","March 30th, 2015","AsociaciÃ³n Aldea Global Jinotega","Caturra","Washed / Wet","6.83","7.17","7.17","6.92","7.5","7.08","10","10","10","7.17","79.83","0.11","0","0","Green","0","March 29th, 2016","AsociaciÃ³n de CafÃ©s Especiales de Nicaragua","m","1250","1250"
1143,"Arabica","sergio de la vequia bernardi","Mexico","la cuchilla","cafetalera la cuchilla","NULL","1300","veracruz","CIRO DE LA VEQUIA CESSA","250","1 kg","AMECAFE","2012","July 11th, 2012","SERGIO DE LA VEQUIA BERNARDI","Typica","Washed / Wet","7.17","7.08","7","7.25","7.5","7","10","10","10","6.83","79.83","0.12","0","0","Green","3","July 11th, 2013","AMECAFE","m","1300","1300"
1144,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","12","100 lbs","Specialty Coffee Association","2012","April 5th, 2012","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry","7.58","7.08","6.83","7.17","7.5","7.17","9.33","10","10","7.17","79.83","0.12","7","0","Blue-Green","10","April 5th, 2013","Specialty Coffee Association","ft","NULL","NULL"
1145,"Arabica","juan luis alvarado romero","Guatemala","la esperanza","beneficio ixchel","unex guatemala, s.a.","1901.64","oriente","AGRICOLA EL PILAR, S.A.","25","69 kg","Asociacion Nacional Del CafÃ©","2016","June 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.5","7.42","7.25","7.58","7.33","7.42","9.33","9.33","9.33","7.25","79.75","0.1","0","4","Green","1","June 22nd, 2018","Asociacion Nacional Del CafÃ©","m","190164","190164"
1146,"Arabica","lin, che-hao krude ???","Taiwan","ka-vulungan coffee estate","ka-vulungan coffee estate","red on tree co., ltd.","800-1200","taiwu township , pingtung county ??????","Wei-Chieh ( Jack ) Hua","28","50 kg","Specialty Coffee Association","2014","March 21st, 2015","Lin, Che-Hao Krude ???","Typica","Natural / Dry","7.75","7.33","7.17","7.33","7.67","7.83","9.33","9.33","8.67","7.33","79.75","0","0","0","NULL","0","March 20th, 2016","Specialty Coffee Association","m","800","1200"
1147,"Arabica","lin, che-hao krude ???","Taiwan","baijiada coffee farm???????","baijiada coffee farm???????","red on tree co., ltd.","500-700m","baihe dist., tainan city ??????","LIN REN FU ???","50","20 kg","Specialty Coffee Association","2013","July 28th, 2014","Lin, Che-Hao Krude ???","Typica","Washed / Wet","7.08","7.08","7.25","7","7.17","7.17","10","10","10","7","79.75","0.1","0","0","Blue-Green","0","July 28th, 2015","Specialty Coffee Association","m","500","700"
1148,"Arabica","doi tung development project","Thailand","NULL","doi tung development project","doi tung development project","800++","thailand","Doi Tung Development Project","1","1 kg","Specialty Coffee Association","2013","June 16th, 2014","Doi Tung Development Project","NULL","Washed / Wet","7.25","7.08","6.92","7.5","7.08","6.92","10","10","10","7","79.75","0.12","0","0","Green","0","June 16th, 2015","Specialty Coffee Association","m","800","800"
1149,"Arabica","dane loraas","Peru","NULL","NULL","sustainable harvest","NULL","huanuco","NULL","320","5 lbs","Specialty Coffee Association","2013","January 23rd, 2014","Dane Loraas","NULL","Washed / Wet","7","7.08","7","7.25","7.5","7.42","9.33","10","10","7.17","79.75","0.12","1","0","Green","2","January 23rd, 2015","Specialty Coffee Association","m","NULL","NULL"
1150,"Arabica","the coffee source inc.","Costa Rica","several","coopeagri","the coffee source inc.","1100","brunca","Coopeagri","275","2 kg","Specialty Coffee Association","2013","September 23rd, 2013","The Coffee Source Inc.","Catuai","Washed / Wet","7.58","7.5","7.67","7.75","7.67","7.58","8","8","10","8","79.75","0.1","0","0","Bluish-Green","4","September 23rd, 2014","Specialty Coffee Association","m","1100","1100"
1151,"Arabica","fredy gordillo reyes","Mexico","union ramal santa cruz","union ramal santa cruz","union ramal santa cruz spr de ri","1400","la concordia, chiapas","UNION RAMAL SANTA CRUZ","310","1 kg","AMECAFE","2013","March 29th, 2013","FREDY GORDILLO REYES","Typica","Washed / Wet","7.58","7.08","7","7","7.5","6.92","10","10","10","6.67","79.75","0.12","0","0","Green","4","March 29th, 2014","AMECAFE","m","1400","1400"
1152,"Arabica","leonides de la cruz lopez","Mexico","comonyaj noptic s de ss","NULL","comon yaj noptic s. de ss","1022","chiapas","COMONYAJ NOPTIC S DE SS","275","1 kg","AMECAFE","2013","March 29th, 2013","LEONIDES DE LA CRUZ LOPEZ","Bourbon","Washed / Wet","7.58","7.08","6.92","7.58","7.5","6.92","10","9.33","10","6.83","79.75","0.13","0","0","Green","4","March 29th, 2014","AMECAFE","m","1022","1022"
1153,"Arabica","calixto guillen vazquez","Mexico","various","productores de cafes especiales sc","finca triunfo verde, s.c.","1300","chiapas","VARIOS PRODUCTORES","380","1 kg","AMECAFE","2013","March 29th, 2013","CALIXTO GUILLEN VAZQUEZ","Bourbon","Washed / Wet","7.25","7.08","7","7.17","7.17","7.08","10","10","10","7","79.75","0.12","0","0","Green","5","March 29th, 2014","AMECAFE","m","1300","1300"
1154,"Arabica","israel eduardo paz garcia","Mexico","peÃ±a negra","zaragoza itundujia, oaxaca","cafeorganico.mx","1450","zaragoza itundujia","MINERVA ZUÃ‘IGA GARCIA","12","1 kg","AMECAFE","2012","September 14th, 2012","ISRAEL EDUARDO PAZ GARCIA","Bourbon","Washed / Wet","7.25","7.17","7.17","7.08","7.17","7","10","10","10","6.92","79.75","0.14","0","0","None","0","September 14th, 2013","AMECAFE","m","1450","1450"
1155,"Arabica","alfredo bojalil","Mexico","el vergel","amsa oaxaca","ecomtrading","1050","pochutla","ANGEL GONZALES","250","1 kg","AMECAFE","2012","September 4th, 2012","ALFREDO BOJALIL","Typica","Washed / Wet","7.33","7.25","7","7.08","7.08","7","10","10","10","7","79.75","0.1","1","0","Green","22","September 4th, 2013","AMECAFE","m","1050","1050"
1156,"Arabica","lusso lab","Guatemala","genuine antigua medina","NULL","lusso coffee lab","NULL","antigua","Jorge Bolanos","275","69 kg","Specialty Coffee Association","2012","July 23rd, 2012","LUSSO LAB","Bourbon","Washed / Wet","7.58","7.33","7.5","7.33","7","7.33","9.33","9.33","9.33","7.67","79.75","0","0","0","Green","4","July 23rd, 2013","Specialty Coffee Association","m","NULL","NULL"
